codigo_municipio,nombre_municipio,codigo_departamento,LATITUD,LONGITUD
17541,Pensilvania,17,5.407187836,-75.16683996
17524,Palestina,17,5.050342543,-75.66176266
17513,Pácora,17,5.500035035,-75.48245057
17495,Norcasia,17,5.638062349,-74.85492707
17486,Neira,17,5.183358589,-75.50692977
17446,Marulanda,17,5.235585244,-75.28316648
17444,Marquetalia,17,5.309142491,-75.04117892
17442,Marmato,17,5.492632029,-75.60209955
17433,Manzanares,17,5.23295391,-75.15263447
17388,La Merced,17,5.393185716,-75.55791071
17380,La Dorada,17,5.410515691,-74.72114262
17272,Filadelfia,17,5.285743777,-75.58978784
17174,Chinchiná,17,4.974340569,-75.65954686
17088,Belalcázar,17,4.99467728,-75.81225989
17050,Aranzazu,17,5.265539969,-75.47392619
17042,Anserma,17,5.20029922,-75.75289078
17013,Aguadas,17,5.616204006,-75.4554471
17001,Manizales,17,5.08343301,-75.50727881
15897,Zetaquira,15,5.285635983,-73.16763091
15879,Viracachá,15,5.440558216,-73.26627456
15861,Ventaquemada,15,5.383385481,-73.52097942
15842,Umbita,15,5.217241368,-73.46338477
15839,Tutazá,15,6.078051903,-72.85707832
15837,Tuta,15,5.678126998,-73.17343053
15835,Turmequé,15,5.305697418,-73.50908714
15832,Tununguá,15,5.720301516,-73.94330927
15822,Tota,15,5.501297215,-72.99633297
15820,Tópaga,15,5.765350303,-72.83672958
15816,Togüí,15,5.921830062,-73.48921806
15814,Toca,15,5.580254287,-73.1606969
15810,Tipacoque,15,6.42035349,-72.69463583
15808,Tinjacá,15,5.577566497,-73.67614572
15806,Tibasosa,15,5.747329389,-73.01114724
15804,Tibaná,15,5.301116649,-73.3932521
15798,Tenza,15,5.071413139,-73.42479699
15790,Tasco,15,5.882294313,-72.72626817
15778,Sutatenza,15,5.030711335,-73.41224401
15776,Sutamarchán,15,5.640030759,-73.62598773
15774,Susacón,15,6.215200578,-72.71575634
15764,Soracá,15,5.494890461,-73.31899997
15763,Sotaquirá,15,5.763010553,-73.24352232
15762,Sora,15,5.580573191,-73.44371838
15761,Somondoco,15,4.970974064,-73.42878785
15759,Sogamoso,15,5.646672053,-72.8709565
15757,Socha,15,5.960498836,-72.68239784
15755,Socotá,15,5.906513772,-72.53646361
15753,Soatá,15,6.323088045,-72.69604089
15740,Siachoque,15,5.498747701,-73.21681778
15723,Sativasur,15,6.083405978,-72.72410815
15720,Sativanorte,15,6.13211793,-72.73032415
15696,Santa Sofía,15,5.731602716,-73.60366287
15693,Santa Rosa de Viterbo,15,5.892950301,-72.9917278
15690,Santa María,15,4.823002556,-73.25377506
15686,Santana,15,6.057614971,-73.48974828
15681,San Pablo de Borbur,15,5.677345066,-74.11403749
15676,San Miguel de Sema,15,5.532326922,-73.74715898
15673,San Mateo,15,6.395388812,-72.55184862
15667,San Luis de Gaceno,15,4.798203543,-73.13397018
15664,San José de Pare,15,5.994154088,-73.54386522
15660,San Eduardo,15,5.234614686,-73.04914067
15646,Samacá,15,5.47053997,-73.5211756
15638,Sáchica,15,5.573464882,-73.543102
15632,Saboyá,15,5.699926051,-73.74799466
15621,Rondón,15,5.379947879,-73.19650995
15600,Ráquira,15,5.496268621,-73.62894438
15599,Ramiriquí,15,5.319934092,-73.310779
15580,Quípama,15,5.595729831,-74.26857067
15572,Puerto Boyacá,15,5.953466654,-74.4528581
15550,Pisba,15,5.768131812,-72.43993232
15542,Pesca,15,5.498483324,-73.07837993
15537,Paz de Río,15,6.030008561,-72.75988018
15533,Paya,15,5.621242742,-72.3692906
15531,Pauna,15,5.688801559,-74.00504122
15522,Panqueba,15,6.443299758,-72.46182431
15518,Pajarito,15,5.382328949,-72.69672674
15516,Paipa,15,5.762027786,-73.13777442
15514,Páez,15,5.095211035,-73.00435863
15511,Pachavita,15,5.148323877,-73.39951219
15507,Otanche,15,5.753787787,-74.19719423
15500,Oicatá,15,5.610787844,-73.27991905
15494,Nuevo Colón,15,5.354701485,-73.44873424
15491,Nobsa,15,5.778759851,-72.93268324
15480,Muzo,15,5.539429272,-74.11177139
15476,Motavita,15,5.606192449,-73.37734267
15469,Moniquirá,15,5.863370485,-73.55852538
15466,Monguí,15,5.697352228,-72.83298664
15464,Mongua,15,5.710937981,-72.63402875
15455,Miraflores,15,5.150953297,-73.17896722
15442,Maripí,15,5.569810633,-74.02003127
15425,Macanal,15,4.980176495,-73.29413695
15407,Villa de Leyva,15,5.665762424,-73.514948
15403,La Uvita,15,6.265126191,-72.55551085
15401,La Victoria,15,5.507008121,-74.24162727
15380,La Capilla,15,5.113167102,-73.45923708
15377,Labranzagrande,15,5.541378132,-72.5903846
15368,Jericó,15,6.155633662,-72.58523093
15367,Jenesano,15,5.38916272,-73.40087021
15362,Iza,15,5.617366016,-72.96986504
15332,Güicán,15,6.566991765,-72.25599334
15325,Guayatá,15,4.931424341,-73.49663372
15322,Guateque,15,5.01450831,-73.48812352
15317,Guacamayas,15,6.445438546,-72.51635332
15299,Garagoa,15,5.089466651,-73.31430272
15296,Gameza,15,5.799050256,-72.72964765
15293,Gachantivá,15,5.744105975,-73.5426552
15276,Floresta,15,5.85899211,-72.92499827
15272,Firavitoba,15,5.67367659,-73.01983352
15248,El Espino,15,6.508240556,-72.48049625
15244,El Cocuy,15,6.353363177,-72.41923752
15238,Duitama,15,5.890602515,-73.06709484
15236,Chivor,15,4.871181606,-73.36142379
15232,Chíquiza,15,5.643075648,-73.44562391
15226,Cuítiva,15,5.58775449,-72.93953686
15224,Cucaita,15,5.527104109,-73.44598646
15223,Cubará,15,6.886954878,-72.18156285
15218,Covarachía,15,6.519521476,-72.74020421
15215,Corrales,15,5.82454582,-72.84544845
15212,Coper,15,5.452461072,-74.05996578
15204,Cómbita,15,5.667822366,-73.32137049
15189,Ciénega,15,5.393059633,-73.28205772
15187,Chivatá,15,5.556830465,-73.26061715
15185,Chitaraque,15,5.984394625,-73.42582375
15183,Chita,15,6.091468485,-72.43903174
15180,Chiscas,15,6.68911806,-72.41795675
15176,Chiquinquirá,15,5.622488024,-73.80424531
15172,Chinavita,15,5.202971639,-73.34048074
15162,Cerinza,15,5.962013698,-72.96447288
15135,Campohermoso,15,5.006862536,-73.1446703
15131,Caldas,15,5.575990669,-73.88057508
15114,Busbanzá,15,5.843483731,-72.87574623
15109,Buenavista,15,5.489399419,-73.95066255
15106,Briceño,15,5.673229265,-73.92660705
15104,Boyacá,15,5.439856216,-73.38136994
15097,Boavita,15,6.337515626,-72.62021239
15092,Betéitiva,15,5.920858933,-72.84857876
15090,Berbeo,15,5.230936356,-73.12731944
15087,Belén,15,6.005059265,-72.89369887
15051,Arcabuco,15,5.73526424,-73.42793109
15047,Aquitania,15,5.437416373,-72.87149471
15022,Almeida,15,4.954825081,-73.38813425
15001,Tunja,15,5.518472615,-73.37801856
13894,Zambrano,13,9.745147021,-74.88067037
13873,Villanueva,13,10.4449132,-75.26736275
13838,Turbaná,13,10.25276929,-75.43270299
13836,Turbaco,13,10.35310756,-75.37971541
13810,Tiquisio,13,8.492345176,-74.29676139
13780,Talaigua Nuevo,13,9.269516705,-74.58695233
13760,Soplaviento,13,10.33209031,-75.11699226
13744,Simití,13,7.851315534,-73.98371609
13688,Santa Rosa del Sur,13,7.772519173,-74.26272843
13683,Santa Rosa,13,10.46920726,-75.36116053
13673,Santa Catalina,13,10.64981278,-75.26548463
13670,San Pablo,13,7.507922612,-74.10356977000001
13667,San Martín de Loba,13,8.816088444,-74.00599967
13657,San Juan Nepomuceno,13,9.967957823,-75.06571959
13655,San Jacinto del Cauca,13,8.212463202,-74.75082
13654,San Jacinto,13,9.835362011,-75.10609201
13650,San Fernando,13,9.081483143,-74.37186647
13647,San Estanislao,13,10.36468192,-75.20523487
13620,San Cristóbal,13,10.36972087,-75.07333835
13600,Río Viejo,13,8.559982465,-73.90298668
13580,Regidor,13,8.672628558,-73.91450679
13549,Pinillos,13,8.886315511,-74.40888476
13490,Norosi,13,8.50613476,-74.11588912
13473,Morales,13,8.253700061,-73.9713459
13468,Mompós,13,9.142512064,-74.54519906
13458,Montecristo,13,8.01710024,-74.46342911
13442,María la Baja,13,9.976017168,-75.34380265
13440,Margarita,13,9.054601889,-74.22584706
13433,Mahates,13,10.17821391,-75.17978161
13430,Magangué,13,9.053135895,-74.70539318
13300,Hatillo de Loba,13,8.981717133,-74.09071902
13268,El Peñón,13,8.864818786,-73.91230147
13248,El Guamo,13,10.03483672,-74.92811072
13244,El Carmen de Bolívar,13,9.699819876,-75.15793573
13222,Clemencia,13,10.55663696,-75.31446653
13212,Córdoba,13,9.540047515,-74.89445635
13188,Cicuco,13,9.235268598,-74.68840962
13160,Cantagallo,13,7.239229146,-74.10014043
13140,Calamar,13,10.15517098,-74.99995949
13074,Barranco de Loba,13,8.837077654,-74.27966531
13062,Arroyohondo,13,10.24171805,-75.02690422
13052,Arjona,13,10.16422123,-75.37121788
13042,Arenal,13,8.362996158,-74.10301905
13030,Altos del Rosario,13,8.757468863,-74.19515811
13006,Achí,13,8.622943262,-74.47805945
13001,Cartagena,13,10.46343362,-75.45889915
11001,"Bogotá, D.C.",11,4.316107698,-74.1810727
08849,Usiacurí,08,10.74052266,-74.98267413
08832,Tubará,08,10.90721938,-74.98423293
08770,Suan,08,10.31085035,-74.90713308
08758,Soledad,08,10.9069066,-74.7784249
08685,Santo Tomás,08,10.75562656,-74.78726468
08675,Santa Lucía,08,10.35364192,-74.96541179
08638,Sabanalarga,08,10.62250777,-74.95510542
08634,Sabanagrande,08,10.79894015,-74.7687966
08606,Repelón,08,10.50757051,-75.12188053
08573,Puerto Colombia,08,11.0044226,-74.9074058
08560,Ponedera,08,10.59465102,-74.79847316
08558,Polonuevo,08,10.76740141,-74.85414844
08549,Piojó,08,10.74078959,-75.14366034
08520,Palmar de Varela,08,10.69481208,-74.7701509
08436,Manatí,08,10.45414555,-74.98477367
08433,Malambo,08,10.84828864,-74.80617555
08421,Luruaco,08,10.63503116,-75.15402741
08372,Juan de Acosta,08,10.82306503,-75.07841904
08296,Galapa,08,10.89771991,-74.88708788
08141,Candelaria,08,10.48902047,-74.87756627
08137,Campo de la Cruz,08,10.38405079,-74.88466039
08078,Baranoa,08,10.79329302,-74.92219491
08001,Barranquilla,08,10.98152051,-74.82771544
05895,Zaragoza,05,7.474004006,-74.85848326
05893,Yondó,05,6.925159318,-74.15824041
05890,Yolombó,05,6.64442786,-75.02990266
05887,Yarumal,05,6.9881309,-75.45439957
05885,Yalí,05,6.716870679,-74.75565002
05873,Vigía del Fuerte,05,6.453351334,-76.69504802
05861,Venecia,05,5.956576355,-75.77722423
05858,Vegachí,05,6.836535122,-74.7540302
05856,Valparaíso,05,5.651937802,-75.63083412
05854,Valdivia,05,7.265404213,-75.40094502
